"","","","","","",""
"TABLE 1","","","","","",""
"","","","","","",""
"","Attacks .","Assists","Corners taken","Offsides","Dribbles","Matches played"
"Q1 Germany","153","5","16","4","27","2"
"02 Croatia","116","1","3","o","36","2"
"03 ® Portugal","114","2","14","7","46","2"
"04 C* Türkiye","111","1","14","2","32","2"
"05 Belgium","106","2","12","7","33","2"
"06 Denmark","103","2","13","5","16","2"
"07 France","102","1","8","1","42","2"
"08 Ukraine","97","2","12","6","18","2"
"09 Czechia","91","2","11","2","21","2"
"09 Netherlands","91","2","9","4","23","2"
"11 Austria","90","2","9","2","16","2"
"12 & Spain","89","3","10","2","44","2"
"12 Switzerland","89","2","14","7","26","2"
"","","","","","",""
"","","","","","",""
"TABLE 2","","","","","",""
"","","","","","",""
"14 00 Serbia","88","1","11","0","16","2"
"15 Slovakia","83","2","11","3","23","2"
"16 Italy","82","1","7","2","15","2"
"17 England","75","1","3","1","37","2"
"18 Georgia","72","1","10","1","36","2"
"19 Romania","67","2","11","2","21","2"
"19 Slovenia","67","1","9","3","20","2"
"21 Poland","62","1","7","2","30","2"
"22 Hungary","58","1","9","4","19","2"
"23 Albania","44","1","4","5","9","2"
"24 Scotland","43","2","5","0","8","2"
